,,GLOOMHAVEN — Stats de Monstruos (Niveles 0–7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monstruo,Nivel,"HP
Normal","Move
Normal","Atk
Normal","Range
Normal","HP
Elite","Move
Elite","Atk
Elite","Range
Elite","Move
Boss","Atk
Boss","Range
Boss","Shield
Normal","Shield
Elite","Retaliate
Normal","Retaliate
Range Normal","Retaliate
Elite","Retaliate
Range Elite","Piercing
Normal","Piercing
Elite","Muddle
(N/E/Both)","Poison
(N/E/Both)","Wound
(N/E/Both)","Immobilize
(N/E/Both)","Disarm
(N/E/Both)","Stun
(N/E/Both)","Strengthen
(N/E/Both)","Invisible
(N/E/Both)",Pull,Push,"Bless
(N/E/Both)","Cursed
(N/E/Both)",Target Normal,Target Elite,Flying,"Otras skills
(texto libre) Normal","Otras skills
(texto libre) Elite"
Ancient Artillery,0,,,2,4,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,2,3,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,2,5,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,3,5,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,4,5,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,5,,,4,6,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,6,,,4,6,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,7,,,4,7,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Bandit Archer,0,,2,2,3,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,2,4,,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,3,2,4,,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,3,4,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,3,3,4,,3,4,6,,,,,,,,,,,,,e,,,,,,,,,,,,,,,
,5,,3,3,5,,4,4,6,,,,,,,,,,,,,e,,,,,,,,,,,,,,,
,6,,3,4,5,,4,5,6,,,,,,,,,,,,,e,,,,,,,,,,,,,,,
,7,,3,4,5,,4,5,6,,,,,,,,,,,,,e,,,,,,,,,,,,,,,
Bandit Guard,0,,2,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,3,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,3,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,3,3,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,3,,,3,4,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,
,5,,4,4,,,3,5,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,
,6,,4,4,,,3,5,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,
,7,,5,4,,,3,5,,,,,,,,,,,,,e,,,,,,,,,,,,,,,,
Black Imp,0,,1,1,3,,1,2,3,,,,,,,,,,,,,b,,,,,,,,,,,,,,,
,1,,1,1,3,,1,2,3,,,,,,,,,,,,,b,,,,,,,,,,,,,,,
,2,,1,1,4,,1,2,4,,,,,,,,,,,,,b,,,,,,,,,,,,,,,
,3,,1,2,4,,1,3,4,,,,,,,,,,,,,b,,,,,,,,,,,,,,,Aplica desventaja
,4,,1,2,4,,1,3,4,,,,,,,,,,,,,b,,,,,,,,,,,,,,,Aplica desventaja
,5,,1,2,4,,1,3,5,,,,,,,,,,,,,b,,,,,,,,,,,,,,,Aplica desventaja
,6,,1,3,4,,1,4,5,,,,,,,,,,,,,b,,,,,,,,,,,,,,,Aplica desventaja
,7,,1,3,4,,1,4,5,,,,,,,,,,,,,b,,,,,,,,,,,,,,,Aplica desventaja
Cave Bear,0,,3,3,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,3,3,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,4,3,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,4,4,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,4,,,5,5,,,,,,,,,,,,,,,e,,,,,,,,,,,,,,
,5,,5,4,,,5,6,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,
,6,,5,5,,,5,7,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,
,7,,5,5,,,5,7,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,
City Archer,0,,1,2,3,,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,2,4,,1,3,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,2,,1,3,4,,1,4,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,3,,2,3,4,,2,4,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,4,,2,3,5,,2,4,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,5,,2,4,5,,2,5,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,6,,3,4,5,,3,6,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,7,,3,4,6,,3,6,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
City Guard,0,,2,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
